No,ScientificName,survival_rate ,RGR_RCD ,RGR_Height,Max_Height,Max_RCD
1,Albizia odoratissima (L.f.) Benth.,0.2667,0.2359,0.1993,30,150
2,Dalbergia cultrata Grah. ex Bth.,0.34,0.7104,0.3524,25,150
3,Erythrina stricta Roxb.,0.3556,1.0165,0.6645,35,150
4,Ficus altissima Bl.,0.9444,1.5151,0.2242,30,150
5,Magnolia garrettii (Craib) V.S.Kumar,0.5569,1.2295,0.7543,25,150
6,Prunus cerasoides D. Don,0.6377,1.4364,0.9576,30,150
7,Quercus semiserrata Roxb.,0.5464,0.6839,0.5230,10,150
8,Debregeasia longifolia (Burm.f.) Wedd.,0.4167,1.2202,0.8155,5,150
9,Eurya acuminata DC.,0.4271,0.9653,0.3248,5,150
10,Ficus subulata Blume,0.50,1.00,0.50,15,150
11,Diospyros glandulosa Lace,0.4954,1.0601,0.6093,15,150
12,Macaranga denticulata (Blume) Müll.Arg.,0.2509,1.9072,1.2531,10,150
13,Litsea cubeba (Lour.) Pers.,0.50,1.00,0.50,12,150
14,Ostodes paniculata var. paniculata,0.49,0.6265,0.55,8,150
15,Phyllanthus emblica L.,0.5917,1.3713,0.6761,20,150
